Year,Jurisdiction,All students,Average scale score
2017,Alabama,All students,258
2017,Alaska,All students,258
2017,Arizona,All students,263
2017,Arkansas,All students,260
2017,California,All students,263
2017,Colorado,All students,270
2017,Connecticut,All students,273
2017,Delaware,All students,263
2017,District of Columbia,All students,247
2017,DoDEA,All students,280
2017,Florida,All students,267
2017,Georgia,All students,266
2017,Hawaii,All students,261
2017,Idaho,All students,270
2017,Illinois,All students,267
2017,Indiana,All students,272
2017,Iowa,All students,268
2017,Kansas,All students,267
2017,Kentucky,All students,265
2017,Louisiana,All students,257
2017,Maine,All students,269
2017,Maryland,All students,267
2017,Massachusetts,All students,278
2017,Michigan,All students,265
2017,Minnesota,All students,269
2017,Mississippi,All students,256
2017,Missouri,All students,266
2017,Montana,All students,267
2017,Nebraska,All students,269
2017,Nevada,All students,260
2017,New Hampshire,All students,275
2017,New Jersey,All students,275
2017,New Mexico,All students,256
2017,New York,All students,264
2017,North Carolina,All students,263
2017,North Dakota,All students,265
2017,Ohio,All students,268
2017,Oklahoma,All students,261
2017,Oregon,All students,266
2017,Pennsylvania,All students,270
2017,Rhode Island,All students,266
2017,South Carolina,All students,260
2017,South Dakota,All students,267
2017,Tennessee,All students,262
2017,Texas,All students,260
2017,Utah,All students,269
2017,Vermont,All students,273
2017,Virginia,All students,268
2017,Washington,All students,272
2017,West Virginia,All students,259
2017,Wisconsin,All students,269
2017,Wyoming,All students,269
2015,Alabama,All students,259
2015,Alaska,All students,260
2015,Arizona,All students,263
2015,Arkansas,All students,259
2015,California,All students,259
2015,Colorado,All students,268
2015,Connecticut,All students,273
2015,Delaware,All students,263
2015,District of Columbia,All students,248
2015,DoDEA,All students,277
2015,Florida,All students,263
2015,Georgia,All students,262
2015,Hawaii,All students,257
2015,Idaho,All students,269
2015,Illinois,All students,267
2015,Indiana,All students,268
2015,Iowa,All students,268
2015,Kansas,All students,267
2015,Kentucky,All students,268
2015,Louisiana,All students,255
2015,Maine,All students,268
2015,Maryland,All students,268
2015,Massachusetts,All students,274
2015,Michigan,All students,264
2015,Minnesota,All students,270
2015,Mississippi,All students,252
2015,Missouri,All students,267
2015,Montana,All students,270
2015,Nebraska,All students,269
2015,Nevada,All students,259
2015,New Hampshire,All students,275
2015,New Jersey,All students,271
2015,New Mexico,All students,253
2015,New York,All students,263
2015,North Carolina,All students,261
2015,North Dakota,All students,267
2015,Ohio,All students,266
2015,Oklahoma,All students,263
2015,Oregon,All students,268
2015,Pennsylvania,All students,269
2015,Rhode Island,All students,265
2015,South Carolina,All students,260
2015,South Dakota,All students,267
2015,Tennessee,All students,265
2015,Texas,All students,261
2015,Utah,All students,269
2015,Vermont,All students,274
2015,Virginia,All students,267
2015,Washington,All students,267
2015,West Virginia,All students,260
2015,Wisconsin,All students,270
2015,Wyoming,All students,269
2013,Alabama,All students,257
2013,Alaska,All students,261
2013,Arizona,All students,260
2013,Arkansas,All students,262
2013,California,All students,262
2013,Colorado,All students,271
2013,Connecticut,All students,274
2013,Delaware,All students,266
2013,District of Columbia,All students,248
2013,DoDEA,All students,277
2013,Florida,All students,266
2013,Georgia,All students,265
2013,Hawaii,All students,260
2013,Idaho,All students,270
2013,Illinois,All students,267
2013,Indiana,All students,267
2013,Iowa,All students,269
2013,Kansas,All students,267
2013,Kentucky,All students,270
2013,Louisiana,All students,257
2013,Maine,All students,269
2013,Maryland,All students,274
2013,Massachusetts,All students,277
2013,Michigan,All students,266
2013,Minnesota,All students,271
2013,Mississippi,All students,253
2013,Missouri,All students,267
2013,Montana,All students,272
2013,Nebraska,All students,269
2013,Nevada,All students,262
2013,New Hampshire,All students,274
2013,New Jersey,All students,276
2013,New Mexico,All students,256
2013,New York,All students,266
2013,North Carolina,All students,265
2013,North Dakota,All students,268
2013,Ohio,All students,269
2013,Oklahoma,All students,262
2013,Oregon,All students,268
2013,Pennsylvania,All students,272
2013,Rhode Island,All students,267
2013,South Carolina,All students,261
2013,South Dakota,All students,268
2013,Tennessee,All students,265
2013,Texas,All students,264
2013,Utah,All students,270
2013,Vermont,All students,274
2013,Virginia,All students,268
2013,Washington,All students,272
2013,West Virginia,All students,257
2013,Wisconsin,All students,268
2013,Wyoming,All students,271
2011,Alabama,All students,258
2011,Alaska,All students,261
2011,Arizona,All students,260
2011,Arkansas,All students,259
2011,California,All students,255
2011,Colorado,All students,271
2011,Connecticut,All students,275
2011,Delaware,All students,266
2011,District of Columbia,All students,242
2011,DoDEA,All students,272
2011,Florida,All students,262
2011,Georgia,All students,262
2011,Hawaii,All students,257
2011,Idaho,All students,268
2011,Illinois,All students,266
2011,Indiana,All students,265
2011,Iowa,All students,265
2011,Kansas,All students,267
2011,Kentucky,All students,269
2011,Louisiana,All students,255
2011,Maine,All students,270
2011,Maryland,All students,271
2011,Massachusetts,All students,275
2011,Michigan,All students,265
2011,Minnesota,All students,270
2011,Mississippi,All students,254
2011,Missouri,All students,267
2011,Montana,All students,273
2011,Nebraska,All students,268
2011,Nevada,All students,258
2011,New Hampshire,All students,272
2011,New Jersey,All students,275
2011,New Mexico,All students,256
2011,New York,All students,266
2011,North Carolina,All students,263
2011,North Dakota,All students,269
2011,Ohio,All students,268
2011,Oklahoma,All students,260
2011,Oregon,All students,264
2011,Pennsylvania,All students,268
2011,Rhode Island,All students,265
2011,South Carolina,All students,260
2011,South Dakota,All students,269
2011,Tennessee,All students,259
2011,Texas,All students,261
2011,Utah,All students,267
2011,Vermont,All students,274
2011,Virginia,All students,267
2011,Washington,All students,268
2011,West Virginia,All students,256
2011,Wisconsin,All students,267
2011,Wyoming,All students,270
2009,Alabama,All students,255
2009,Alaska,All students,259
2009,Arizona,All students,258
2009,Arkansas,All students,258
2009,California,All students,253
2009,Colorado,All students,266
2009,Connecticut,All students,272
2009,Delaware,All students,265
2009,District of Columbia,All students,242
2009,DoDEA,All students,272
2009,Florida,All students,264
2009,Georgia,All students,260
2009,Hawaii,All students,255
2009,Idaho,All students,265
2009,Illinois,All students,265
2009,Indiana,All students,266
2009,Iowa,All students,265
2009,Kansas,All students,267
2009,Kentucky,All students,267
2009,Louisiana,All students,253
2009,Maine,All students,268
2009,Maryland,All students,267
2009,Massachusetts,All students,274
2009,Michigan,All students,262
2009,Minnesota,All students,270
2009,Mississippi,All students,251
2009,Missouri,All students,267
2009,Montana,All students,270
2009,Nebraska,All students,267
2009,Nevada,All students,254
2009,New Hampshire,All students,271
2009,New Jersey,All students,273
2009,New Mexico,All students,254
2009,New York,All students,264
2009,North Carolina,All students,260
2009,North Dakota,All students,269
2009,Ohio,All students,269
2009,Oklahoma,All students,259
2009,Oregon,All students,265
2009,Pennsylvania,All students,271
2009,Rhode Island,All students,260
2009,South Carolina,All students,257
2009,South Dakota,All students,270
2009,Tennessee,All students,261
2009,Texas,All students,260
2009,Utah,All students,266
2009,Vermont,All students,272
2009,Virginia,All students,266
2009,Washington,All students,267
