STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
Alabama,2016,7498567,7708845,2439634
Alaska,2016,2494691,2623014,983877
Arizona,2016,8503034,7987011,2913176
Arkansas,2016,5401016,5434193,1802769
California,2016,89217262,85320133,26058021
Colorado,2016,10123271,9878524,3333043
Connecticut,2016,11419673,10826431,3307162
Delaware,2016,2043577,2041952,588181
District of Columbia,2016,1329719,1322563,369131
Florida,2016,28125598,27945116,8286140
Georgia,2016,19403453,19158388,5554271
Hawaii,2016,3030519,2733094,901508
Idaho,2016,2266490,2100980,689190
Illinois,2016,32908958,33037244,10426170
Indiana,2016,12732161,11535287,3663349
Iowa,2016,6919477,6972412,1978260
Kansas,2016,6069563,6134836,1685306
Kentucky,2016,7745928,7786281,2425472
Louisiana,2016,8397136,8248660,2789031
Maine,2016,2845391,2706103,938187
Maryland,2016,14409321,13992191,4338868
Massachusetts,2016,17484704,17037880,4970289
Michigan,2016,19416061,18001445,5899097
Minnesota,2016,12186135,12848946,3016934
Mississippi,2016,4755399,4631356,1551274
Missouri,2016,10893231,10719882,3298811
Montana,2016,1800909,1879789,599074
Nebraska,2016,4398811,4640422,1149107
Nevada,2016,4482886,4374249,1505591
New Hampshire,2016,3150473,3124778,959654
New Jersey,2016,30012666,29665476,9549742
New Mexico,2016,3765069,3729397,1212080
New York,2016,66912661,68282026,15883500
North Carolina,2016,13448045,14207389,4102549
North Dakota,2016,1788749,1963630,474679
Ohio,2016,23766529,23352516,7357292
Oklahoma,2016,6103728,6184152,2011100
Oregon,2016,7418055,7501954,2367410
Pennsylvania,2016,31077289,30925177,8464573
Rhode Island,2016,2401541,2358654,811796
South Carolina,2016,9161667,9187299,3013294
South Dakota,2016,1455737,1475864,440580
Tennessee,2016,9585331,9680512,2915193
Texas,2016,58284155,59314884,15169007
Utah,2016,4952923,4923657,1217100
Vermont,2016,2112365,2082696,583178
Virginia,2016,16259274,16497520,5164699
