STATE,ST,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Alabama,AL,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903
Alabama,AL,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284
Alabama,AL,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146
Alabama,AL,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279
Alabama,AL,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619
Alabama,AL,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944
Alabama,AL,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550
Alabama,AL,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816
Alabama,AL,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799
Alabama,AL,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956
Alabama,AL,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720
Alabama,AL,2011,746933.0,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140.0,564183
Alabama,AL,2012,744621.0,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658.0,580949
Alabama,AL,2013,744548.0,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737.0,643522
Alabama,AL,2014,740081.0,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642.0,580934
Alabama,AL,2015,734974.0,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283.0,510091
Alabama,AL,2016,734652.0,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452.0,610743
Alaska,AK,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546
Alaska,AK,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279
Alaska,AK,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409
Alaska,AK,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005
Alaska,AK,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826
Alaska,AK,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700
Alaska,AK,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931
Alaska,AK,2007,132197.0,1800616,282270,1052357,465989,1938755,927307,645857,60699.0,257723
Alaska,AK,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512
