Year,Jurisdiction,All students,Average scale score
2017,Alabama,All students,268.312020240893
2017,Alaska,All students,277.015571755108
2017,Arizona,All students,282.248145284054
2017,Arkansas,All students,273.75990725281
2017,California,All students,276.638200063835
2017,Colorado,All students,286.247717546748
2017,Connecticut,All students,284.144330330682
2017,Delaware,All students,278.023498869959
2017,District of Columbia,All students,265.779770573735
2017,Florida,All students,279.120415156315
2017,Georgia,All students,281.035487532394
2017,Hawaii,All students,277.336845826814
2017,Idaho,All students,284.371732938877
2017,Illinois,All students,281.617997668016
2017,Indiana,All students,287.705639463898
2017,Iowa,All students,286.239418158172
2017,Kansas,All students,285.283507884924
2017,Kentucky,All students,277.714161796085
2017,Louisiana,All students,266.506760283641
2017,Maine,All students,284.003007342022
2017,Maryland,All students,280.910245611123
2017,Massachusetts,All students,297.0422252108
2017,Michigan,All students,279.505454699336
2017,Minnesota,All students,293.962375743927
2017,Mississippi,All students,270.91490754267
2017,Missouri,All students,280.596021606445
2017,Montana,All students,285.600436850241
2017,Nebraska,All students,288.405955332178
2017,Nevada,All students,275.365455514069
2017,New Hampshire,All students,293.290654433387
2017,New Jersey,All students,291.698552399307
2017,New Mexico,All students,269.374084020303
2017,New York,All students,281.687999953596
2017,North Carolina,All students,281.926028447068
2017,North Dakota,All students,288.172322165675
2017,Ohio,All students,287.714266317975
2017,Oklahoma,All students,274.688883411113
2017,Oregon,All students,282.173028442268
2017,Pennsylvania,All students,286.393832326288
2017,Rhode Island,All students,277.180125645798
2017,South Carolina,All students,274.67382111862
2017,South Dakota,All students,286.376159534544
2017,Tennessee,All students,278.777735468651
2017,Texas,All students,282.320510342396
2017,Utah,All students,286.816559110458
2017,Vermont,All students,287.62338824063
2017,Virginia,All students,290.081407427647
2017,Washington,All students,289.131257183192
2017,West Virginia,All students,273.415853633933
2017,Wisconsin,All students,288.143144315469
2017,Wyoming,All students,288.761811740442
2015,Alabama,All students,266.555318518065
2015,Alaska,All students,280.493456179845
2015,Arizona,All students,282.919489420654
2015,Arkansas,All students,275.064756412469
2015,California,All students,275.324573012154
2015,Colorado,All students,285.539188724412
2015,Connecticut,All students,283.956677264342
2015,Delaware,All students,279.810243773994
2015,District of Columbia,All students,263.059776256545
2015,Florida,All students,275.323817958749
2015,Georgia,All students,278.711796774375
2015,Hawaii,All students,279.340145034503
2015,Idaho,All students,283.742325345327
2015,Illinois,All students,281.968567276813
2015,Indiana,All students,287.175201077669
2015,Iowa,All students,286.41621998599
2015,Kansas,All students,283.871096311731
2015,Kentucky,All students,277.947260135803
2015,Louisiana,All students,268.432355132751
2015,Maine,All students,284.875476957911
2015,Maryland,All students,283.149034098785
2015,Massachusetts,All students,296.908571436848
2015,Michigan,All students,278.168651923457
2015,Minnesota,All students,294.147777973073
2015,Mississippi,All students,270.580479347121
2015,Missouri,All students,280.821425670635
2015,Montana,All students,287.464005517244
2015,Nebraska,All students,286.498563486228
2015,Nevada,All students,275.171868843271
2015,New Hampshire,All students,294.413018726344
2015,New Jersey,All students,293.36593817877
2015,New Mexico,All students,270.897534405553
2015,New York,All students,280.089220069279
2015,North Carolina,All students,281.331091062317
2015,North Dakota,All students,288.244147214039
2015,Ohio,All students,285.061955059169
2015,Oklahoma,All students,274.58598213814
2015,Oregon,All students,282.814899352646
2015,Pennsylvania,All students,283.668415444349
2015,Rhode Island,All students,281.445219579398
2015,South Carolina,All students,275.827866191395
2015,South Dakota,All students,284.64140569224
2015,Tennessee,All students,278.203380665353
2015,Texas,All students,283.793540280437
2015,Utah,All students,286.116911188659
2015,Vermont,All students,290.355191159079
2015,Virginia,All students,287.709298675278
2015,Washington,All students,286.513107597489
2015,West Virginia,All students,271.45070884715
2015,Wisconsin,All students,289.077749211995
2015,Wyoming,All students,286.666547067471
2013,Alabama,All students,269.194280616502
2013,Alaska,All students,281.559572836526
2013,Arizona,All students,279.722267962505
2013,Arkansas,All students,277.914802456258
2013,California,All students,275.901350652197
2013,Colorado,All students,289.68180010958
2013,Connecticut,All students,285.243972274119
2013,Delaware,All students,282.338298596548
2013,District of Columbia,All students,265.259365712508
2013,Florida,All students,280.855839554008
2013,Georgia,All students,279.179110912454
2013,Hawaii,All students,281.412922288425
2013,Idaho,All students,286.413881629757
2013,Illinois,All students,284.897647164169
2013,Indiana,All students,287.767653833023
2013,Iowa,All students,285.07013777479
2013,Kansas,All students,289.518256078135
2013,Kentucky,All students,280.64544247635
2013,Louisiana,All students,272.760966478426
2013,Maine,All students,288.731159737956
2013,Maryland,All students,286.641381102957
2013,Massachusetts,All students,300.568235011147
2013,Michigan,All students,280.133597093752
2013,Minnesota,All students,294.592972603507
2013,Mississippi,All students,271.160967287249
2013,Missouri,All students,282.988457911702
2013,Montana,All students,289.228453008852
2013,Nebraska,All students,285.061348473454
2013,Nevada,All students,278.28668090862
2013,New Hampshire,All students,295.665123344221
2013,New Jersey,All students,296.053351131027
2013,New Mexico,All students,272.761808894229
2013,New York,All students,281.807787831651
2013,North Carolina,All students,285.645388424867
2013,North Dakota,All students,290.515111260981
2013,Ohio,All students,289.528096752185
2013,Oklahoma,All students,275.506732026577
2013,Oregon,All students,283.524589064024
2013,Pennsylvania,All students,289.623651633339
2013,Rhode Island,All students,284.092212214805
2013,South Carolina,All students,279.824608578537
2013,South Dakota,All students,287.270390625653
2013,Tennessee,All students,277.720127269641
2013,Texas,All students,288.198967599188
2013,Utah,All students,284.331486246838
2013,Vermont,All students,295.469562357463
2013,Virginia,All students,288.142959517699
2013,Washington,All students,289.956988743835
2013,West Virginia,All students,274.430134697899
2013,Wisconsin,All students,288.745780841654
2013,Wyoming,All students,288.119137263578
2011,Alabama,All students,269.09651583719
2011,Alaska,All students,283.2727978671
2011,Arizona,All students,279.033501713793
2011,Arkansas,All students,279.088205018109
2011,California,All students,272.769803091291
2011,Colorado,All students,291.7426728709
2011,Connecticut,All students,286.999944694085
2011,Delaware,All students,282.769966403216
2011,District of Columbia,All students,260.46687784992
2011,Florida,All students,277.837035214102
2011,Georgia,All students,278.483619188656
2011,Hawaii,All students,277.836211052583
2011,Idaho,All students,286.675063250389
2011,Illinois,All students,283.228134687939
2011,Indiana,All students,285.00291608665
2011,Iowa,All students,284.920836058704
2011,Kansas,All students,289.61928267474
2011,Kentucky,All students,281.608809706829
2011,Louisiana,All students,272.843333892634
2011,Maine,All students,288.732297636602
2011,Maryland,All students,287.997802255227
2011,Massachusetts,All students,298.512431105164
2011,Michigan,All students,280.176517968298
2011,Minnesota,All students,294.946422810345
2011,Mississippi,All students,269.235645624753
2011,Missouri,All students,281.947646246654
2011,Montana,All students,292.907804277033
2011,Nebraska,All students,283.197044839966
2011,Nevada,All students,278.113153726165
2011,New Hampshire,All students,292.10873973776
2011,New Jersey,All students,294.138771366004
2011,New Mexico,All students,274.454701456959
2011,New York,All students,280.453026092986
2011,North Carolina,All students,286.267028242857
2011,North Dakota,All students,291.998404485775
2011,Ohio,All students,288.602596832439
