Year,Jurisdiction,All students,Average scale score
2017,Alabama,All students,216
2017,Alaska,All students,207
2017,Arizona,All students,215
2017,Arkansas,All students,216
2017,California,All students,215
2017,Colorado,All students,225
2017,Connecticut,All students,228
2017,Delaware,All students,221
2017,District of Columbia,All students,213
2017,Florida,All students,228
2017,Georgia,All students,220
2017,Hawaii,All students,216
2017,Idaho,All students,223
2017,Illinois,All students,220
2017,Indiana,All students,226
2017,Iowa,All students,222
2017,Kansas,All students,223
2017,Kentucky,All students,224
2017,Louisiana,All students,212
2017,Maine,All students,221
2017,Maryland,All students,225
2017,Massachusetts,All students,236
2017,Michigan,All students,218
2017,Minnesota,All students,225
2017,Mississippi,All students,215
2017,Missouri,All students,223
2017,Montana,All students,222
2017,Nebraska,All students,224
2017,Nevada,All students,215
2017,New Hampshire,All students,229
2017,New Jersey,All students,233
2017,New Mexico,All students,208
2017,New York,All students,222
2017,North Carolina,All students,224
2017,North Dakota,All students,222
2017,Ohio,All students,225
2017,Oklahoma,All students,217
2017,Oregon,All students,218
2017,Pennsylvania,All students,225
2017,Rhode Island,All students,223
2017,South Carolina,All students,213
2017,South Dakota,All students,222
2017,Tennessee,All students,219
2017,Texas,All students,215
2017,Utah,All students,225
2017,Vermont,All students,226
2017,Virginia,All students,228
2017,Washington,All students,223
2017,West Virginia,All students,217
2017,Wisconsin,All students,220
2017,Wyoming,All students,227
2015,Alabama,All students,217
2015,Alaska,All students,213
2015,Arizona,All students,215
2015,Arkansas,All students,218
2015,California,All students,213
2015,Colorado,All students,224
2015,Connecticut,All students,229
2015,Delaware,All students,224
2015,District of Columbia,All students,212
2015,Florida,All students,227
2015,Georgia,All students,222
2015,Hawaii,All students,215
2015,Idaho,All students,222
2015,Illinois,All students,222
2015,Indiana,All students,227
2015,Iowa,All students,224
2015,Kansas,All students,221
2015,Kentucky,All students,228
2015,Louisiana,All students,216
2015,Maine,All students,224
2015,Maryland,All students,223
2015,Massachusetts,All students,235
2015,Michigan,All students,216
2015,Minnesota,All students,223
2015,Mississippi,All students,214
2015,Missouri,All students,223
2015,Montana,All students,225
2015,Nebraska,All students,227
2015,Nevada,All students,214
2015,New Hampshire,All students,232
2015,New Jersey,All students,229
2015,New Mexico,All students,207
2015,New York,All students,223
2015,North Carolina,All students,226
2015,North Dakota,All students,225
2015,Ohio,All students,225
2015,Oklahoma,All students,222
2015,Oregon,All students,220
2015,Pennsylvania,All students,227
2015,Rhode Island,All students,225
2015,South Carolina,All students,218
2015,South Dakota,All students,220
2015,Tennessee,All students,219
2015,Texas,All students,218
2015,Utah,All students,226
2015,Vermont,All students,230
2015,Virginia,All students,229
2015,Washington,All students,226
2015,West Virginia,All students,216
2015,Wisconsin,All students,223
2015,Wyoming,All students,228
2013,Alabama,All students,219
2013,Alaska,All students,209
2013,Arizona,All students,213
2013,Arkansas,All students,219
2013,California,All students,213
2013,Colorado,All students,227
2013,Connecticut,All students,230
2013,Delaware,All students,226
2013,District of Columbia,All students,206
2013,Florida,All students,227
2013,Georgia,All students,222
2013,Hawaii,All students,215
2013,Idaho,All students,219
2013,Illinois,All students,219
2013,Indiana,All students,225
2013,Iowa,All students,224
2013,Kansas,All students,223
2013,Kentucky,All students,224
2013,Louisiana,All students,210
2013,Maine,All students,225
2013,Maryland,All students,232
2013,Massachusetts,All students,232
2013,Michigan,All students,217
2013,Minnesota,All students,227
2013,Mississippi,All students,209
2013,Missouri,All students,222
2013,Montana,All students,223
2013,Nebraska,All students,223
2013,Nevada,All students,214
2013,New Hampshire,All students,232
2013,New Jersey,All students,229
2013,New Mexico,All students,206
2013,New York,All students,224
2013,North Carolina,All students,222
2013,North Dakota,All students,224
2013,Ohio,All students,224
2013,Oklahoma,All students,217
2013,Oregon,All students,219
2013,Pennsylvania,All students,226
2013,Rhode Island,All students,223
2013,South Carolina,All students,214
2013,South Dakota,All students,218
2013,Tennessee,All students,220
2013,Texas,All students,217
2013,Utah,All students,223
2013,Vermont,All students,228
2013,Virginia,All students,229
2013,Washington,All students,225
2013,West Virginia,All students,215
2013,Wisconsin,All students,221
2013,Wyoming,All students,226
2011,Alabama,All students,220
2011,Alaska,All students,208
2011,Arizona,All students,212
2011,Arkansas,All students,217
2011,California,All students,211
2011,Colorado,All students,223
2011,Connecticut,All students,227
2011,Delaware,All students,225
2011,District of Columbia,All students,201
2011,Florida,All students,225
2011,Georgia,All students,221
2011,Hawaii,All students,214
2011,Idaho,All students,221
2011,Illinois,All students,219
2011,Indiana,All students,221
2011,Iowa,All students,221
2011,Kansas,All students,224
2011,Kentucky,All students,225
2011,Louisiana,All students,210
2011,Maine,All students,222
2011,Maryland,All students,231
2011,Massachusetts,All students,237
2011,Michigan,All students,219
2011,Minnesota,All students,222
2011,Mississippi,All students,209
2011,Missouri,All students,220
2011,Montana,All students,225
2011,Nebraska,All students,223
2011,Nevada,All students,213
2011,New Hampshire,All students,230
2011,New Jersey,All students,231
2011,New Mexico,All students,208
2011,New York,All students,222
2011,North Carolina,All students,221
2011,North Dakota,All students,226
2011,Ohio,All students,224
2011,Oklahoma,All students,215
2011,Oregon,All students,216
2011,Pennsylvania,All students,227
2011,Rhode Island,All students,222
2011,South Carolina,All students,215
2011,South Dakota,All students,220
2011,Tennessee,All students,215
2011,Texas,All students,218
2011,Utah,All students,220
2011,Vermont,All students,227
2011,Virginia,All students,226
2011,Washington,All students,221
2011,West Virginia,All students,214
2011,Wisconsin,All students,221
2011,Wyoming,All students,224
2009,Alabama,All students,216
2009,Alaska,All students,211
2009,Arizona,All students,210
2009,Arkansas,All students,216
2009,California,All students,210
2009,Colorado,All students,226
2009,Connecticut,All students,229
2009,Delaware,All students,226
2009,District of Columbia,All students,202
2009,Florida,All students,226
2009,Georgia,All students,218
2009,Hawaii,All students,211
2009,Idaho,All students,221
2009,Illinois,All students,219
2009,Indiana,All students,223
2009,Iowa,All students,221
2009,Kansas,All students,224
2009,Kentucky,All students,226
2009,Louisiana,All students,207
2009,Maine,All students,224
2009,Maryland,All students,226
2009,Massachusetts,All students,234
2009,Michigan,All students,218
2009,Minnesota,All students,223
2009,Mississippi,All students,211
2009,Missouri,All students,224
2009,Montana,All students,225
2009,Nebraska,All students,223
2009,Nevada,All students,211
2009,New Hampshire,All students,229
2009,New Jersey,All students,229
2009,New Mexico,All students,208
2009,New York,All students,224
2009,North Carolina,All students,219
2009,North Dakota,All students,226
2009,Ohio,All students,225
2009,Oklahoma,All students,217
2009,Oregon,All students,218
2009,Pennsylvania,All students,224
2009,Rhode Island,All students,223
2009,South Carolina,All students,216
2009,South Dakota,All students,222
2009,Tennessee,All students,217
2009,Texas,All students,219
2009,Utah,All students,219
2009,Vermont,All students,229
2009,Virginia,All students,227
2009,Washington,All students,221
2009,West Virginia,All students,215
2009,Wisconsin,All students,220
2009,Wyoming,All students,223
2007,Alabama,All students,216
2007,Alaska,All students,214
2007,Arizona,All students,210
2007,Arkansas,All students,217
2007,California,All students,209
2007,Colorado,All students,224
2007,Connecticut,All students,227
2007,Delaware,All students,225
2007,District of Columbia,All students,197
2007,Florida,All students,224
2007,Georgia,All students,219
2007,Hawaii,All students,213
2007,Idaho,All students,223
2007,Illinois,All students,219
2007,Indiana,All students,222
2007,Iowa,All students,225
2007,Kansas,All students,225
2007,Kentucky,All students,222
2007,Louisiana,All students,207
2007,Maine,All students,226
2007,Maryland,All students,225
2007,Massachusetts,All students,236
2007,Michigan,All students,220
2007,Minnesota,All students,225
2007,Mississippi,All students,208
2007,Missouri,All students,221
2007,Montana,All students,227
2007,Nebraska,All students,223
2007,Nevada,All students,211
2007,New Hampshire,All students,229
2007,New Jersey,All students,231
2007,New Mexico,All students,212
2007,New York,All students,224
2007,North Carolina,All students,218
2007,North Dakota,All students,226
2007,Ohio,All students,226
2007,Oklahoma,All students,217
2007,Oregon,All students,215
2007,Pennsylvania,All students,226
2007,Rhode Island,All students,219
2007,South Carolina,All students,214
2007,South Dakota,All students,223
2007,Tennessee,All students,216
2007,Texas,All students,220
2007,Utah,All students,221
2007,Vermont,All students,228
2007,Virginia,All students,227
2007,Washington,All students,224
2007,West Virginia,All students,215
2007,Wisconsin,All students,223
2007,Wyoming,All students,225
2005,Alabama,All students,208
2005,Alaska,All students,211
2005,Arizona,All students,207
2005,Arkansas,All students,217
2005,California,All students,207
2005,Colorado,All students,224
2005,Connecticut,All students,226
2005,Delaware,All students,226
2005,District of Columbia,All students,191
2005,Florida,All students,219
2005,Georgia,All students,214
2005,Hawaii,All students,210
2005,Idaho,All students,222
2005,Illinois,All students,216
2005,Indiana,All students,218
2005,Iowa,All students,221
2005,Kansas,All students,220
2005,Kentucky,All students,220
2005,Louisiana,All students,209
2005,Maine,All students,225
2005,Maryland,All students,220
2005,Massachusetts,All students,231
2005,Michigan,All students,218
2005,Minnesota,All students,225
2005,Mississippi,All students,204
2005,Missouri,All students,221
2005,Montana,All students,225
2005,Nebraska,All students,221
2005,Nevada,All students,207
2005,New Hampshire,All students,227
2005,New Jersey,All students,223
2005,New Mexico,All students,207
2005,New York,All students,223
2005,North Carolina,All students,217
2005,North Dakota,All students,225
2005,Ohio,All students,223
2005,Oklahoma,All students,214
2005,Oregon,All students,217
2005,Pennsylvania,All students,223
2005,Rhode Island,All students,216
2005,South Carolina,All students,213
2005,South Dakota,All students,222
2005,Tennessee,All students,214
2005,Texas,All students,219
2005,Utah,All students,221
2005,Vermont,All students,227
2005,Virginia,All students,226
2005,Washington,All students,223
2005,West Virginia,All students,215
2005,Wisconsin,All students,221
2005,Wyoming,All students,223
2003,Alabama,All students,207
2003,Alaska,All students,212
2003,Arizona,All students,209
2003,Arkansas,All students,214
2003,California,All students,206
2003,Colorado,All students,224
2003,Connecticut,All students,228
2003,Delaware,All students,224
2003,District of Columbia,All students,188
2003,Florida,All students,218
2003,Georgia,All students,214
2003,Hawaii,All students,208
2003,Idaho,All students,218
2003,Illinois,All students,216
2003,Indiana,All students,220
2003,Iowa,All students,223
2003,Kansas,All students,220
2003,Kentucky,All students,219
2003,Louisiana,All students,205
2003,Maine,All students,224
2003,Maryland,All students,219
2003,Massachusetts,All students,228
2003,Michigan,All students,219
2003,Minnesota,All students,223
2003,Mississippi,All students,205
2003,Missouri,All students,222
2003,Montana,All students,223
2003,Nebraska,All students,221
2003,Nevada,All students,207
2003,New Hampshire,All students,228
2003,New Jersey,All students,225
2003,New Mexico,All students,203
2003,New York,All students,222
2003,North Carolina,All students,221
2003,North Dakota,All students,222
2003,Ohio,All students,222
2003,Oklahoma,All students,214
2003,Oregon,All students,218
2003,Pennsylvania,All students,219
2003,Rhode Island,All students,216
2003,South Carolina,All students,215
2003,South Dakota,All students,222
2003,Tennessee,All students,212
2003,Texas,All students,215
2003,Utah,All students,219
2003,Vermont,All students,226
2003,Virginia,All students,223
2003,Washington,All students,221
2003,West Virginia,All students,219
2003,Wisconsin,All students,221
2003,Wyoming,All students,222
2002,Alabama,All students,207
2002,Alaska,All students,—
2002,Arizona,All students,205
2002,Arkansas,All students,213
2002,California,All students,206
2002,Colorado,All students,—
2002,Connecticut,All students,229
2002,Delaware,All students,224
2002,District of Columbia,All students,191
2002,Florida,All students,214
2002,Georgia,All students,215
2002,Hawaii,All students,208
2002,Idaho,All students,220
2002,Illinois,All students,‡
2002,Indiana,All students,222
2002,Iowa,All students,223
2002,Kansas,All students,222
2002,Kentucky,All students,219
2002,Louisiana,All students,207
2002,Maine,All students,225
2002,Maryland,All students,217
2002,Massachusetts,All students,234
2002,Michigan,All students,219
2002,Minnesota,All students,225
