"YEAR","STATE","RATE","DEATHS"
"2018","Alabama","21.8","1064"
"2018","Alaska","21","155"
"2018","Arizona","15.3","1147"
"2018","Arkansas","18.9","573"
"2018","California","7.5","3040"
"2018","Colorado","15.2","889"
"2018","Connecticut","4.9","186"
"2018","Delaware","11.6","107"
"2018","Florida","12.9","2902"
"2018","Georgia","15.7","1680"
"2018","Hawaii","4","59"
"2018","Idaho","16.6","294"
"2018","Illinois","10.9","1382"
"2018","Indiana","14.7","977"
"2018","Iowa","8.7","282"
"2018","Kansas","14.8","424"
"2018","Kentucky","16.9","762"
"2018","Louisiana","21.4","991"
"2018","Maine","10.3","159"
"2018","Maryland","11.7","707"
"2018","Massachusetts","3.5","258"
"2018","Michigan","12.9","1310"
"2018","Minnesota","7.8","437"
"2018","Mississippi","22.9","681"
"2018","Missouri","21.5","1311"
"2018","Montana","17.3","186"
"2018","Nebraska","9","183"
"2018","Nevada","17.9","550"
"2018","New Hampshire","10.8","155"
"2018","New Jersey","4.8","420"
"2018","New Mexico","20.7","438"
"2018","New York","4.1","821"
"2018","North carolina","13.3","1416"
"2018","North Dakota","11.5","89"
"2018","Ohio","13.1","1555"
"2018","Oklahoma","16.8","665"
"2018","Oregon","11.7","519"
"2018","Pennsylvania","12.5","1654"
"2018","Rhode Island","3.3","37"
"2018","South Carolina","17.6","895"
"2018","South Dakota","13.6","117"
"2018","Tennessee","17.8","1228"
"2018","Texas","12.2","3522"
"2018","Utah","13.2","397"
"2018","Vermont","12.8","82"
"2018","Virginia","11.8","1035"
"2018","Washington","10.4","809"
"2018","West Virginia","18.2","343"
"2018","Wisconsin","10.1","598"
"2018","Wyoming","21.5","124"
"2017","Alabama","22.9","1124"
"2017","Alaska","24.5","180"
"2017","Arizona","15.8","1134"
"2017","Arkansas","20.3","613"
"2017","California","7.9","3184"
"2017","Colorado","13.4","779"
"2017","Connecticut","5.1","188"
"2017","Delaware","11.7","111"
"2017","Florida","12.4","2724"
"2017","Georgia","15.4","1623"
"2017","Hawaii","2.5","39"
"2017","Idaho","16.4","280"
"2017","Illinois","12.1","1543"
"2017","Indiana","15.3","1016"
"2017","Iowa","9","293"
"2017","Kansas","16","466"
"2017","Kentucky","16.2","730"
"2017","Louisiana","21.7","1008"
"2017","Maine","11.7","172"
"2017","Maryland","12.3","742"
"2017","Massachusetts","3.7","262"
"2017","Michigan","11.3","1138"
"2017","Minnesota","8.2","465"
"2017","Mississippi","21.5","632"
"2017","Missouri","21.5","1307"
"2017","Montana","22.5","244"
"2017","Nebraska","8.3","160"
"2017","Nevada","16.7","508"
"2017","New Hampshire","10.4","146"
"2017","New Jersey","5.3","478"
"2017","New Mexico","18.5","394"
"2017","New York","3.7","772"
"2017","North carolina","13.7","1430"
"2017","North Dakota","13.2","103"
"2017","Ohio","13.7","1589"
"2017","Oklahoma","17.2","681"
"2017","Oregon","12.1","528"
"2017","Pennsylvania","12.5","1636"
"2017","Rhode Island","3.9","43"
"2017","South Carolina","17.7","893"
"2017","South Dakota","11.9","101"
