Estado,Indice
Maryland,1
California,1
New Jersey,1
Hawaii,1
New York,1
Columbia,2
Illinois,2
Delaware,2
Minnesota,2
Massachusetts,2
Louisiana,3
South Carolina,3
Arkansas,3
Nevada,3
Colorado,3
Oregon,3
Michigan,3
Washington,3
Iowa,3
Nebraska,3
Connecticut,3
Rhode Island,3
Alabama,4
Oklahoma,4
Montana,4
New Mexico,4
Kentucky,4
Tennessee,4
Indiana,4
North Carolina,4
Virginia,4
Utah,4
Texas,4
Wisconsin,4
North Dakota,4
Florida,4
Ohio,4
Pennsylvania,4
South Dakota,4
Alaska,5
Mississippi,5
Missouri,5
West Virginia,5
Wyoming,5
Arizona,5
Idaho,5
Kansas,5
Vermont,5
New Hampshire,5
Maine,5
Georgia,4
